,Release_Date,Movie,Distributor,Budget,US Gross,Worldwide Gross
0,2012-03-09,John Carter,0,300000000,66439100.0,254439100.0
1,2007-05-25,Pirates of the Caribbean: At World's End,Buena Vista,300000000,309420425.0,960996492.0
2,2013-12-13,The Hobbit: There and Back Again,New Line,270000000,0.0,0.0
3,2012-12-14,The Hobbit: An Unexpected Journey,New Line,270000000,0.0,0.0
4,2010-11-24,Tangled,Buena Vista,260000000,200821936.0,586581936.0
5,2007-05-04,Spider-Man 3,Sony,258000000,336530303.0,890875303.0
6,2009-07-15,Harry Potter and the Half-Blood Prince,Warner Bros.,250000000,301959197.0,934416487.0
7,2011-05-20,Pirates of the Caribbean: On Stranger Tides,Buena Vista,250000000,241063875.0,1043663875.0
8,2012-07-20,The Dark Knight Rises,0,250000000,0.0,0.0
9,2009-12-18,Avatar,20th Century Fox,237000000,760507625.0,2783918982.0
10,2006-06-28,Superman Returns,Warner Bros.,232000000,200120000.0,390874000.0
