Word,Count
facebook,16
people,14
mobile,13
developers,12
marketers,10
ads,10
application,8
applications,8
devices,6
personal,6
computers,6
help,6
ad,6
share,5
value,5
create,5
use,5
enable,5
also,5
december,4
messenger,4
messaging,4
online,4
revenue,4
tools,4
web,4
world,3
business,3
friends,3
available,3
,3
increase,3
instagram,3
reach,3
providing,3
including,3
generate,3
audience,3
network,3
monetize,3
payments,3
make,2
connected,2
focuses,2
build,2
products,2
connect,2
discover,2
photos,2
videos,2
million,2
average,2
2014,2
compared,2
2013,2
enables,2
feed,2
android,2
ios,2
windows,2
phone,2
whatsapp,2
brand,2
objectives,2
sales,2
in-store,2
based,2
purchase,2
show,2
insights,2
campaigns,2
results,2
grow,2
engagement,2
infrastructure,2
receive,2
advertisers,2
within,2
overview,1
mission,1
give,1
power,1
open,1
creating,1
top,1
priority,1
useful,1
engaging,1
learn,1
going,1
around,1
opinions,1
ideas,1
activities,1
audiences,1
ranging,1
closest,1
public,1
large,1
stay,1
everywhere,1
accessing,1
including:,1
app,1
website,1
communicate,1
free,1
throughout,1
890,1
daily,1
active,1
users,1
(daus),1
18%,1
745,1
daus,1
accessed,1
device,1
34%,1
take,1
customize,1
filter,1
effects,1
followers,1
photo,1
send,1
directly,1
mobile-to-mobile,1
works,1
similarly,1
texting,1
(sms),1
chat,1
others,1
instantly,1
seamlessly,1
integrates,1
functionality,1
cross-platform,1
allows,1
exchange,1
messages,1
blackberry,1
nokia,1
kinds,1
direct,1
response,1
small,1
medium-sized,1
businesses,1
achieve,1
whether,1
driving,1
awareness,1
substantial,1
majority,1
selling,1
advertising,1
placements,1
let,1
variety,1
factors,1
age,1
gender,1
location,1
interests,1
appear,1
multiple,1
places,1
news,1
right-hand,1
side,1
planning,1
designed,1
align,1
marketers',1
goals,1
campaign,1
specify,1
budget,1
marketing,1
types,1
want,1
facebook's,1
serving,1
technology,1
dynamically,1
determines,1
best,1
person,1
dimensions,1
platform's,1
measure,1
optimize,1
performance,1
understand,1
drove,1
modifications,1
improve,1
addition,1
buy,1
websites,1
atlas,1
liverail,1
supports,1
developersb,1
,1
efforts,1
first,1
provide,1
set,1
development,1
programming,1
interfaces,1
(apis),1
easily,1
integrate,1
across,1
platforms,1
second,1
social,1
plugins,1
exposure,1
distribution,1
using,1
sharing,1
invites,1
requests,1
number,1
ways,1
drive,1
discovery,1
user,1
finally,1
easy-to-use,1
secure,1
trusted,1
environment,1
well,1
able,1
showing,1
sell,1
virtual,1
digital,1
goods,1
choose,1
us,1
portion,1
